お仕事No.,応募数 合計
2203556553,2.1385932
2203515280,2.7906888
2203546900,3.208503
2203545344,3.7066948
2203557987,2.4298291
2203511565,2.5248346
2203525420,1.5275179
2203494391,3.088465
2203509988,2.4691334
2203554385,2.742492
2203554555,1.8940176
2203559938,0.29123366
2203546898,2.442987
2203537199,1.7630525
2203509659,2.2616768
2203526411,2.2417226
2203558348,0.9286475
2203527442,1.8362117
2203548920,1.6830581
2203539381,1.3796793
2203548939,2.1985993
2203514393,2.4207535
2203540200,1.8834041
2203552261,2.015203
2203523737,2.759538
2203511772,1.4342457
2203538462,3.0438817
2203545202,3.019326
2203501746,3.1306958
2203551617,1.7172976
2203554360,1.6712294
2203467767,2.5225148
2203559180,0.96953464
2203526166,1.8598549
2203495958,2.621617
2203552588,1.432291
2203546087,3.1639473
2203557223,1.9769113
2203551388,1.082932
2203553871,0.94989145
2203528893,1.873592
2203532652,1.0921392
2203558645,0.86381054
2203517850,2.7154632
2203526826,1.5018423
2203557114,0.9158094
2203559887,0.8161177
2203536595,1.9567693
2203555803,1.8534905
2203553962,1.0539191
2203508238,1.5716149
2203550996,1.5052041
2203558732,0.92884195
2203523111,2.2272239
2203542663,1.1545827
2203531347,1.864631
2203504071,1.5921267
2203548891,1.2212737
2203556983,1.3704433
2203526244,1.6252706
2203505822,1.6375234
2203555760,0.85755956
2203559881,0.50543946
2203556204,1.6349479
2203522916,0.94627064
2203540706,1.801354
2203535805,1.1396494
2203550569,2.1006267
2203560065,0.12894055
2203554152,0.68408203
2203558707,2.035029
2203536025,2.412796
2203556657,0.9569104
2203554919,0.9644964
2203548209,1.2956469
2203559357,0.8038733
2203534402,1.3718804
2203549990,1.3248885
2203556312,0.58487624
2203550931,1.9655732
2203506584,1.2068183
2203556533,1.1608454
2203554930,0.85667753
2203550201,1.2015283
2203557199,1.9717307
2203545333,1.4943069
2203470445,1.9423735
2203552444,0.9267512
2203547445,1.0873802
2203554851,0.93385696
2203551513,2.1397347
2203541013,1.6477697
2203525798,1.5795075
2203531242,1.7904375
2203556362,0.1305714
2203539995,1.882778
2203553418,0.68764365
2203556394,0.61307806
2203536899,1.7914883
2203558980,1.3662467
2203520412,0.94047725
2203555115,0.5408312
2203559140,1.6348039
2203559289,0.48312145
2203559337,0.5434406
2203508914,2.218785
2203537373,1.6340913
2203520321,1.8641441
2203545682,2.546791
2203535788,2.403642
2203545476,1.0463517
2203531107,1.4222248
2203559834,0.547507
2203555325,1.2905406
2203505337,1.8228874
2203554041,0.53325826
2203534249,0.77070415
2203512438,1.3140483
2203549488,1.8108495
2203519812,2.6694474
2203537393,0.64018667
2203470577,2.2321954
2203559873,0.66310513
2203529749,0.5772646
2203555033,2.2546794
2203530605,1.0785147
2203558818,1.2542984
2203552466,0.77330005
2203544503,0.4853733
2203533521,1.2986542
2203510456,0.9284026
2203540838,1.5634488
2203558540,1.3616734
2203548293,0.9872116
2203515868,0.9647689
2203558121,1.9603057
2203490910,2.1392665
2203515598,1.3046658
2203558605,1.4939234
2203555034,0.88519883
2203516555,0.57657737
2203520581,1.6862065
2203550726,1.2891189
2203549224,1.8256003
2203560047,0.3192289
2203553869,0.2130534
2203530089,1.0710635
2203558998,1.009345
2203553951,0.6671439
2203545409,1.4728909
2203531747,2.4044962
2203551308,0.7498857
2203546600,1.906267
2203526516,0.97933304
2203516192,0.35411268
2203505481,1.9678572
2203539342,1.649405
2203553728,1.5368068
2203559708,0.5081386
2203559408,1.3740721
2203555633,0.61880887
2203558672,0.33257765
2203559311,1.1283345
2203493732,1.3973012
2203521177,0.8339848
2203559072,0.8765985
2203536923,0.83611524
2203544600,1.1914084
2203537208,0.26560622
2203559431,0.7654821
2203558069,0.44250625
2203543492,0.8233933
2203528382,1.2957302
2203490372,2.1375408
2203553404,0.65096533
2203556405,0.9129742
2203557773,1.0926988
2203517069,2.7023144
2203558375,0.4502618
2203548832,0.3238631
2203556721,0.6750131
2203555367,0.5638302
2203550740,0.71431184
2203556805,1.1931317
2203558247,2.0893602
2203529373,1.5164374
2203555759,1.3673459
2203552507,1.4761914
2203526249,1.2688329
2203558978,0.5767275
2203485986,1.2821894
2203552678,0.9158094
2203482084,0.5531475
2203557975,0.67468107
2203506122,1.2233455
2203543130,1.6395636
2203531125,2.3604352
2203537714,1.191748
2203512320,1.4746202
2203556876,1.4907916
2203559960,0.83826786
2203558581,0.6498272
2203549503,0.20486462
2203539533,1.5983548
2203504099,1.2009735
2203521163,1.4207315
2203548070,0.7506276
2203547727,1.0039501
2203551817,1.2136449
2203456354,1.1446924
2203555568,1.0532697
2203558365,0.9422431
2203548609,1.6258397
2203555205,0.73755395
2203551593,1.2179193
2203523845,1.5468127
2203536828,1.0937488
2203559400,1.0872936
2203552271,0.8881631
2203559030,2.4044962
2203557511,0.7357984
2203559918,0.5476493
2203529052,2.752642
2203541977,1.5530728
2203548166,1.2576191
2203508498,0.9190086
2203544266,1.2387266
2203559157,0.60505563
2203551846,0.8886963
2203557952,0.49244446
2203537524,0.004710555
2203526654,1.5626067
2203543743,1.6755712
2203560023,0.54018503
2203524319,0.62603647
2203559440,0.34476227
2203551549,1.6745024
2203553551,0.7609843
2203546287,0.1712457
2203465599,2.3501549
2203509562,1.2105999
2203558894,0.952841
2203554790,0.888759
2203557095,1.2753088
2203558970,1.1170571
2203527260,1.7099903
2203555917,0.52883536
2203551251,1.2564776
2203482674,1.0866649
2203557736,0.41239542
2203526057,1.1418567
2203540404,1.9975641
2203536042,0.26228806
2203535595,1.2074454
2203549461,0.2716015
2203559081,1.6883234
2203559837,0.47209162
2203548827,0.37125674
2203530478,2.1254036
2203558285,0.6835823
2203553081,0.765533
2203518798,0.48151928
2203543552,1.4198239
2203559123,0.5981544
2203555637,0.5771333
2203552948,0.73898435
2203553994,0.60829175
2203539620,1.3243036
2203558606,2.369144
2203559294,0.7286935
2203534113,0.5637491
2203522648,0.53651536
2203475337,2.087173
2203546472,1.275443
2203555627,0.7963826
2203557490,0.42277014
2203557525,0.58929735
2203557478,1.2628505
2203557757,0.85755956
2203559854,0.28918916
2203555924,1.6388
2203540727,0.5263856
2203529579,2.1054604
2203557314,0.7914281
2203543274,0.6203597
2203542056,1.3971112
2203553234,0.2686001
2203557602,0.7393213
2203543660,1.5641205
2203559022,1.2907495
2203559380,0.34214476
2203556112,0.777446
2203546486,0.4429566
2203514164,0.8248931
2203556194,0.5108855
2203469907,1.6868304
2203516439,1.8161489
2203559877,0.39131597
2203558587,0.6127713
2203556081,0.41920874
2203539792,0.86089337
2203550991,0.73944414
2203539501,-0.00414145
2203525758,0.89820224
2203549053,0.85755956
2203531586,1.1700652
2203535877,1.3896922
2203556979,0.65885496
2203559459,0.55470526
2203542731,1.006778
2203559406,0.50768775
2203559615,0.6315683
2203559941,0.61896765
2203506697,0.9670897
2203555403,1.649721
2203524536,0.43673232
2203554563,1.1056476
2203527460,0.7105733
2203559075,0.4530187
2203503541,1.013405
2203545613,0.6669371
2203527273,1.2226698
2203559744,1.0562198
2203558556,1.4052495
2203513202,1.2008498
2203559899,0.5482009
2203559115,0.3869989
2203559211,0.45595
2203559482,0.35039392
2203523505,0.3864367
2203506216,0.5527684
2203542350,2.591555
2203559339,0.6653298
2203522439,1.9431496
2203554486,0.7608909
2203556373,0.39637053
2203556760,0.42647654
2203505364,0.7810232
2203524806,1.052153
2203557581,0.06812245
2203507681,0.47533062
2203551358,0.85689104
2203559367,1.6012114
2203508367,1.9292482
2203558431,0.82849795
2203535000,0.5962937
2203533207,0.5367683
2203550112,1.1783171
2203543569,0.9965136
2203559865,0.2776959
2203537305,0.42816454
2203559643,0.48806298
2203553957,0.52015674
2203548372,0.41920874
2203555713,1.134383
2203537434,1.6168619
2203509817,0.5468399
2203557320,0.894228
2203542564,0.595647
2203523823,1.1409063
2203547782,1.1245847
2203558893,0.28359768
2203458790,0.6426171
2203527092,1.2325532
2203519871,0.52858555
2203532497,0.6950622
2203511183,1.994478
2203554078,1.0155046
2203554460,1.0339447
2203547835,1.0312883
2203550228,0.7427032
2203538439,0.9442624
2203483712,0.86139756
2203556748,0.2485953
2203526613,1.5618384
2203549194,1.1689556
2203528287,1.1235874
2203532110,1.245549
2203548501,1.549087
2203549116,0.9242681
2203558575,1.0192838
2203543239,0.63539946
2203523230,0.65519786
2203558050,0.5211877
2203558982,0.38175613
2203551902,0.6962888
2203555570,0.7446739
2203558910,0.6393795
