お仕事No.,応募数 合計
2203556553,1.8172804
2203515280,3.2933366
2203546900,3.352716
2203545344,3.6695247
2203557987,2.295638
2203511565,2.6311238
2203525420,2.5792634
2203494391,3.351981
2203509988,2.6419492
2203554385,2.0931747
2203554555,2.0394511
2203559938,0.054716915
2203546898,2.4103541
2203537199,1.562763
2203509659,1.9940964
2203526411,2.4180975
2203558348,1.0753522
2203527442,1.9974506
2203548920,2.0222898
2203539381,1.5015597
2203548939,1.8727747
2203514393,2.8477693
2203540200,1.8613557
2203552261,2.0424666
2203523737,2.6989706
2203511772,1.779266
2203538462,2.483142
2203545202,3.10393
2203501746,3.1724646
2203551617,2.1283953
2203554360,1.6366796
2203467767,2.5316305
2203559180,0.6875653
2203526166,1.9740281
2203495958,2.6568103
2203552588,1.1556743
2203546087,2.8957074
2203557223,2.284009
2203551388,1.4498593
2203553871,0.7642132
2203528893,1.9415177
2203532652,1.2362559
2203558645,1.8777149
2203517850,2.717633
2203526826,0.93060374
2203557114,0.83999777
2203559887,0.27249995
2203536595,2.9757712
2203555803,1.5637039
2203553962,0.516323
2203508238,1.7361517
2203550996,1.4563909
2203558732,0.9200129
2203523111,2.3167343
2203542663,1.223521
2203531347,2.2933626
2203504071,1.5723093
2203548891,1.0245898
2203556983,1.4163947
2203526244,2.011586
2203505822,1.3109424
2203555760,0.7443993
2203559881,0.42552596
2203556204,0.6235046
2203522916,1.2188444
2203540706,1.8714055
2203535805,1.6768738
2203550569,1.7939142
2203560065,0.19185665
2203554152,0.9067004
2203558707,1.4190602
2203536025,2.5502508
2203556657,1.006858
2203554919,1.557929
2203548209,1.5867901
2203559357,0.6714754
2203534402,1.5508771
2203549990,0.75650954
2203556312,0.7144899
2203550931,2.1996408
2203506584,1.9055481
2203556533,1.5650979
2203554930,1.1156325
2203550201,0.82081354
2203557199,2.047831
2203545333,1.3471651
2203470445,2.0805218
2203552444,1.817282
2203547445,0.99598575
2203554851,1.0499938
2203551513,1.6934056
2203541013,1.4851882
2203525798,1.4946053
2203531242,1.6179833
2203556362,0.09036785
2203539995,1.9621063
2203553418,0.55537057
2203556394,0.96584135
2203536899,1.595054
2203558980,0.81954074
2203520412,0.7710744
2203555115,0.3157112
2203559140,0.9532763
2203559289,0.54728746
2203559337,0.5137329
2203508914,2.4026976
2203537373,1.5461117
2203520321,2.2387834
2203545682,2.51901
2203535788,2.4141989
2203545476,0.90352607
2203531107,1.6230547
2203559834,0.48767018
2203555325,1.1574689
2203505337,2.2623463
2203554041,0.5262639
2203534249,1.2524515
2203512438,1.8775712
2203549488,2.493941
2203519812,2.9604602
2203537393,0.7106121
2203470577,2.2511804
2203559873,0.33640802
2203529749,0.22541192
2203555033,1.8028344
2203530605,1.0453966
2203558818,0.9835385
2203552466,1.0747005
2203544503,0.9322956
2203533521,1.5496249
2203510456,1.0829551
2203540838,1.5598245
2203558540,1.2582033
2203548293,0.8798932
2203515868,0.9815292
2203558121,2.0030756
